e, e_dot, e_int, stamp, 
0.005837928264325359, -0.003122190119741741, 0.0012687649644396227, 29792000000, 
0.00666744040979711, 0.0008282650259200386, 0.0012616219717429046, 29894000000, 
0.006265881788891203, 0.001426511748552813, 0.0012514166975342448, 29996000000, 
0.005685289962528067, -0.003273834824230141, 0.0012412408107477587, 30098000000, 
0.006483042926541949, 0.000723870458835818, 0.0012289476451974146, 30200000000, 
0.0061201650156497145, 0.0014495835104054906, 0.001219233193647982, 30268000000, 
0.005555835634009604, -0.003090690975107816, 0.0012106029050800845, 30370000000, 
0.006292143163156655, 0.0005732604916898013, 0.0011978762541877315, 30472000000, 
0.005898175736288869, 0.0011411336742642164, 0.0011830769688970086, 30574000000, 
0.005349234913752859, -0.0031430274980126516, 0.001169303587546559, 30676000000, 
0.0060752830624770104, 0.0005903577539604724, 0.0011548462475012493, 30778000000, 
0.005754000351980176, 0.0013492181274243897, 0.001145234555214003, 30880000000, 
0.0052640176845551445, -0.0027042179264062196, 0.001139553406600822, 30948000000, 
0.004857771946835732, -0.002987428017148149, 0.0010583859988914034, 31050000000, 
0.005578539180764258, 0.001048404987363712, 0.001046688587477009, 31152000000, 
0.005071976454302907, 0.0007140150248905833, 0.0010338858387935264, 31254000000, 
0.004689376438712173, -0.0029638758068402846, 0.0010226594715852892, 31356000000, 
0.0055040413488235684, 0.0014402163150688725, 0.0010176929494559099, 31424000000, 
0.005146913519085999, 0.0015251236012460885, 0.0010226887537747827, 31526000000, 
0.004684761110457875, -0.002730934127885646, 0.001022381065224496, 31628000000, 
0.005348008468185755, 0.0006703164969991867, 0.0010119788731819753, 31730000000, 
0.004993840627235763, 0.0010302650559262938, 0.0010017740137252928, 31832000000, 
0.004476636050337768, -0.0029045747261599586, 0.0009878990097172858, 31900000000, 
0.005068609410875696, 0.0002492292787997785, 0.0009692724058966151, 32002000000, 
0.0047589422406243975, 0.0009410206342887658, 0.0009536125134558574, 32104000000, 
0.004307154690425058, -0.002538182401502128, 0.0009423137561283434, 32206000000, 
0.0048444367726149795, 0.00028498177330193997, 0.0009273689135776289, 32274000000, 
0.004532873417312178, 0.000752395756290399, 0.0009122976586901476, 32376000000, 
0.004102202658684939, -0.0024741137131001345, 0.000898634189907473, 32478000000, 
0.004607949252042415, 0.00025025278243412385, 0.0008828683552026354, 32580000000, 
0.004309729265494361, 0.0006917553560314057, 0.000867992078414781, 32682000000, 
0.003901188596986488, -0.002355868850186423, 0.0008545911409682176, 32750000000, 
