imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.1456651366862977, 0.0276751210566679, -0.004492990689394637, 3.4027583335470973e-10, -0.0006485651368089033, -5.246594583066071e-07, -0.003548250772533125, -9.8947241850359e-07, 5.825619450035602e-05, -9.944385003260508e-07, 15057000000, 
-0.04654190234743949, 0.010501385780796874, 0.0023250965881287, -2.6195448888263106e-07, 0.02621586274153541, -9.992213167472852e-06, -0.0001663205283482655, -9.61356437520229e-07, 0.0035230769447922865, -1.0046003200798676e-06, 15097000000, 
-0.0584297433272636, -0.06861157876055939, 0.011687384454014946, -0.012219159688876463, 0.054941685487753814, -0.22240234496628328, 0.005357041021537399, -1.6600087316911135e-05, 0.013436509192317944, -9.124389967959265e-05, 15187000000, 
-0.056603635553845545, -0.04071142481888065, 0.01765290487800841, -0.021037234897389588, 0.07315942907364197, -0.2875532950949303, 0.012515902859871808, -0.0001113619187122803, 0.023676814342999754, -0.00047811249695077653, 15334000000, 
-0.029253950598200573, -0.018385306471836935, 0.02139188528001847, -0.022509011180909092, 0.08457446789930206, -0.266144283730041, 0.020786489512310397, -0.000422269881212168, 0.030499577618320867, -0.0008978943090115514, 15433000000, 
-0.05900900486731054, -0.02192999511121308, 0.021042868205859, -0.02489155368227115, 0.09158916943900454, -0.2717739863210369, 0.02984209723247123, -0.001009434064288746, 0.04071980476296203, -0.0017655189629732565, 15531000000, 
0.08650885968723816, -0.07841084642519162, 0.026449336736246352, -0.02572614220386646, 0.098911654335847, -0.2600921233863433, 0.048028366039435534, -0.002747193248751276, 0.05768427019728816, -0.0038436414458922676, 15656000000, 
-0.17277913727776478, 0.06703245898469135, 0.015776655439449457, -0.016250827045641722, 0.09890625544258279, -0.1643053512937377, 0.05847234871049043, -0.004139267757282887, 0.06779758491178456, -0.005399344201616411, 15788000000, 
-0.3157625285588911, 0.11367801840996763, -0.0015924268585392198, -0.013092760652017964, 0.09720212342605007, -0.13469624109578987, 0.06921297314167875, -0.005745745348549879, 0.07451818031109504, -0.006511239474875619, 15871000000, 
-0.04407616480664547, -0.0479568925455539, -0.0028093354379499402, -0.015473213794656361, 0.0980042091448441, -0.15788315552639087, 0.0790065736931389, -0.007546000209184221, 0.0845804605650558, -0.008273525142743593, 15966000000, 
-0.015856734989112203, -0.029903268489713218, -0.002733996638368458, -0.006758910674346325, 0.09861320170171096, -0.06853961292921956, 0.08876444646043143, -0.009480722314418584, 0.09462662539135067, -0.01018193642549584, 16053000000, 
-0.014750498163688262, -0.1257543064278574, -0.002635799254538075, -0.0022096274766377436, 0.09919641073582833, -0.022275276496870847, 0.09856371217321305, -0.01155571536059942, 0.10464176880905543, -0.012168332155031618, 16146000000, 
-0.04714804581560448, -0.029292021157531024, -0.004618500724958178, -0.008814893915811901, 0.09917701226387828, -0.08888041406569387, 0.10833160671518369, -0.013677044601238348, 0.11465252458334586, -0.014178642484934603, 16246000000, 
-0.07110550714962824, -0.014148599883599549, -0.007795259556323892, -0.005625550721220408, 0.09884485253613784, -0.056912935543747184, 0.11823512901696803, -0.015855042766454632, 0.12132151849207237, -0.015557079015706542, 16342000000, 
-0.04704291812217781, -0.0006701294973207803, -0.009282707238413056, -0.004483978968099016, 0.09862858158368819, -0.045463281496087186, 0.12805812257296248, -0.018111537391493578, 0.13131233242028634, -0.01767518557157508, 16437000000, 
-0.07430164655254831, -0.022912180504122068, -0.012069601716056484, -0.006515586903397739, 0.09824963053001402, -0.06631665552581706, 0.13792946967895336, -0.02043279370036076, 0.1412851734466592, -0.01985307236795763, 16522000000, 
-0.049171954179559905, -0.04741802829917309, -0.01301661930234704, -0.006774024701108841, 0.09813391668392496, -0.06902837398131155, 0.14773686164577424, -0.022804461426893005, 0.14792686831201482, -0.021344627351001344, 16623000000, 
-0.03431517131784188, -0.000554267405415683, -0.013084576106866077, -0.006374169398392192, 0.0980617688027705, -0.06500157478509715, 0.1573143551822423, -0.025192560391558913, 0.1578788586818343, -0.023650072858530435, 16723000000, 
-0.06893259918410391, -0.0007382510631405246, -0.015051874661580918, -0.006659642037728444, 0.09776566722690898, -0.06811841238981947, 0.1670759549308546, -0.0276880848922304, 0.16781341579077255, -0.02602993328808275, 16809000000, 
